-0.1609, 0.779, 0.6061,
0.161, 0.7789, 0.6061,
-0.1576, 0.6713, 0.7242,
0.1577, 0.6713, 0.7242,
-0.1131, 0.4184, 0.9012,
0.1135, 0.4184, 0.9011,
0.1965, 0.1169, 0.9735,
-0.1738, 0.1229, 0.9771,
0.4369, 0.6647, 0.6061,
0.6645, 0.4371, 0.6061,
0.3631, 0.5862, 0.7242,
0.586, 0.3633, 0.7243,
0.2156, 0.3761, 0.9011,
0.3758, 0.2159, 0.9012,
0.2149, -0.0451, 0.9756,
-0.0544, 0.2228, 0.9734,
0.7789, 0.1612, 0.6061,
0.7789, -0.161, 0.6061,
0.6713, 0.1579, 0.7242,
0.6713, -0.1577, 0.7242,
0.4184, 0.1136, 0.9011,
0.4184, -0.1133, 0.9012,
0.1248, -0.1837, 0.975,
0.1243, 0.1848, 0.9749,
0.6646, -0.437, 0.6061,
0.4369, -0.6646, 0.6061,
0.5862, -0.3632, 0.7242,
0.3632, -0.5862, 0.7242,
0.376, -0.2157, 0.9012,
0.2157, -0.376, 0.9012,
-0.0502, -0.2198, 0.9743,
0.2156, 0.0469, 0.9754,
0.161, -0.7789, 0.6061,
-0.1609, -0.779, 0.6061,
0.1577, -0.6713, 0.7242,
-0.1575, -0.6713, 0.7243,
0.1134, -0.4184, 0.9012,
-0.1129, -0.4185, 0.9012,
-0.1637, -0.1262, 0.9784,
0.1909, -0.1198, 0.9743,
-0.4371, -0.6646, 0.6061,
-0.6645, -0.4371, 0.6061,
-0.3633, -0.586, 0.7243,
-0.586, -0.3634, 0.7243,
-0.2161, -0.3757, 0.9012,
-0.3755, -0.2164, 0.9012,
-0.2008, 0.0087, 0.9796,
0.0195, -0.2084, 0.9779,
-0.779, -0.1608, 0.6061,
-0.779, 0.1608, 0.6061,
-0.6713, -0.1573, 0.7243,
-0.6713, 0.1574, 0.7243,
-0.4185, -0.1126, 0.9012,
-0.4185, 0.1127, 0.9012,
-0.1331, 0.1532, 0.9792,
-0.134, -0.1487, 0.9798,
-0.6645, 0.4371, 0.6061,
-0.437, 0.6646, 0.6061,
-0.586, 0.3634, 0.7243,
-0.3633, 0.5861, 0.7242,
-0.3756, 0.2163, 0.9012,
-0.2159, 0.3759, 0.9012,
0.0295, 0.213, 0.9766,
-0.2026, -0.0138, 0.9792,
0.7545, 0.3131, 0.5768,
0.6431, 0.2668, 0.7178,
0.4078, 0.1696, 0.8972,
0.1927, 0.0859, 0.9775,
0.7547, -0.3126, 0.5768,
0.6432, -0.2664, 0.7178,
0.408, -0.169, 0.8972,
0.1939, -0.0833, 0.9775,
0.3126, -0.7547, 0.5768,
0.2664, -0.6432, 0.7178,
0.169, -0.4081, 0.8972,
0.0813, -0.1964, 0.9772,
-0.3126, -0.7547, 0.5768,
-0.2664, -0.6432, 0.7178,
-0.169, -0.4079, 0.8972,
-0.0756, -0.1935, 0.9782,
-0.7547, -0.3126, 0.5768,
-0.6432, -0.2664, 0.7178,
-0.4078, -0.1689, 0.8973,
-0.1905, -0.0775, 0.9786,
-0.7547, 0.3126, 0.5768,
-0.6432, 0.2664, 0.7178,
-0.4079, 0.1689, 0.8973,
-0.1906, 0.0788, 0.9785,
-0.3126, 0.7547, 0.5768,
-0.2664, 0.6432, 0.7178,
-0.169, 0.408, 0.8972,
-0.0764, 0.1947, 0.9779,
0.3126, 0.7547, 0.5767,
0.2664, 0.6432, 0.7178,
0.169, 0.4081, 0.8972,
0.0806, 0.1978, 0.9769,
-0.4727, -0.4727, 0.7438,
-0.5587, -0.5587, 0.6129,
-0.2899, -0.2899, 0.9121,
-0.0941, -0.0941, 0.9911,
-0.7902, -0.0, 0.6129,
-0.6684, -0.0, 0.7438,
-0.41, -0.0, 0.9121,
-0.1329, -0.0, 0.9911,
-0.4727, 0.4727, 0.7438,
-0.5587, 0.5587, 0.6129,
-0.2899, 0.2899, 0.9121,
-0.094, 0.094, 0.9911,
-0.0, 0.7902, 0.6129,
-0.0, 0.6684, 0.7438,
